Waktu,Asal,Maskapai,Penerbangan,Terminal_Pintu,Keterangan,Bagasi,Radar_Penerbangan
00:05 26 July,JOG Yogyakarta,QZ Air Asia Indonesia,QZ 7555N,2E -,,6,(#)
00:05 26 July,DMK Bangkok Don Mueang,QZ Air Asia Indonesia,QZ 0253,2F -,,12,(#)
00:10 26 July,DPS Bali,JT Lion Airlines,JT 0019,1B -,,B1,(#)
00:30 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7517,2E -,,7,(#)
00:50 26 July,DPS Bali,JT Lion Airlines,JT 0039,1B -,,B1,(#)
01:00 26 July,KUL Kuala Lumpur,AK Air Asia Benhard,AK 0382,2F -,,11,(#)
01:10 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7523,2E -,,6,(#)
01:50 26 July,BWN Bandar Seri Begawan,BI Royal Brunei Airlines,BI 0737,3U -,,U1,(#)
01:50 26 July,BWN Bandar Seri Begawan,GA Garuda Indonesia,GA 9005,3U -,,U1,(#)
02:00 26 July,HGR Hagerstown,JT Lion Airlines,JT 0001,HG -,,,(#)
03:00 26 July,HGR Hagerstown,QG Citilink Indonesia,QG 0001,HG -,,,(#)
03:00 26 July,HGR Hagerstown,SJ Sriwijaya Airlines,SJ 0001,2D -,,,(#)
04:00 26 July,HGR Hagerstown,IN Nam Air,IN 0001,2D -,,,(#)
04:00 26 July,HKG Hong Kong,CX Cathay Pacific Airways,CX 0753,3U -,,U2,(#)
04:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0001,HG -,,,(#)
04:30 26 July,HGR Hagerstown,QG Citilink Indonesia,QG 0002,HG -,,,(#)
04:30 26 July,HND Tokyo Haneda,NH All Nippon,NH 0871,3U -,,U6,(#)
04:30 26 July,HND Tokyo Haneda,GA Garuda Indonesia,GA 9351,-,,U6,(#)
04:40 26 July,JED Jeddah,GA Garuda Indonesia,GA 7363I,2D -,,1,(#)
04:45 26 July,HAK Haikou,JT Lion Airlines,JT 2788,2F -,,11,(#)
05:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0000,HG -,,,(#)
05:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0005,HG -,,,(#)
06:00 26 July,JOG Yogyakarta,SJ Sriwijaya Airlines,SJ 0219,2D -,,2,(#)
06:00 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0006,HG -,,,(#)
06:05 26 July,PLM Palembang,QG Citilink Indonesia,QG 0985,1C -,,C1,(#)
06:15 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0007,HG -,,,(#)
06:25 26 July,SUB Surabaya,SJ Sriwijaya Airlines,SJ 0257,2D -,,3,(#)
06:25 26 July,SUB Surabaya,QZ Air Asia Indonesia,QZ 7681,2E -,,7,(#)
06:30 26 July,JOG Yogyakarta,QG Citilink Indonesia,QG 0771,1C -,,C2,(#)
06:35 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0008,HG -,,,(#)
06:35 26 July,SOC Surakarta,JT Lion Airlines,JT 0531,1A -,,A0,(#)
06:45 26 July,BDJ Banjarmasin,JT Lion Airlines,JT 0321,1A -,,A3,(#)
06:45 26 July,LOP Praya,JT Lion Airlines,JT 0651,1A -,,A1,(#)
06:45 26 July,BKS Bengkulu,JT Lion Airlines,JT 0631,1B -,,B1,(#)
06:45 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0009,HG -,,,(#)
06:50 26 July,UPG Makassar,QG Citilink Indonesia,QG 0341,1C -,,C3,(#)
06:55 26 July,SRG Semarang,QG Citilink Indonesia,QG 0803,1C -,,C1,(#)
06:55 26 July,AMS Amsterdam,UX air europa,UX 3277,-,,U4,(#)
06:55 26 July,AMS Amsterdam,GA Garuda Indonesia,GA 0089,3U -,,U4,(#)
06:55 26 July,SUB Surabaya,ID Batik Air,ID 6401,2E -,,1,(#)
06:55 26 July,KUL Kuala Lumpur,JT Lion Airlines,JT 0287,2F -,,14,(#)
06:55 26 July,AMS Amsterdam,KL KLM Royal Deutch Airlines,KL 0205,-,,U4,(#)
07:00 26 July,PLM Palembang,ID Batik Air,ID 6871,2E -,,8,(#)
07:00 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0010,HG -,,,(#)
07:00 26 July,SUB Surabaya,SV Saudi Arabian Airlines,SV 6143,-,,U7,(#)
07:00 26 July,TKG Bandar Lampung,ID Batik Air,ID 6711,2E -,,9,(#)
07:00 26 July,SUB Surabaya,PG Bangkok Airways Public Company Limeted,PG 4329,-,,U7,(#)
07:00 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0303,3U -,,U7,(#)
07:05 26 July,SRG Semarang,ID Batik Air,ID 6339,2E -,,9,(#)
07:05 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0950,3U -,,U5,(#)
07:05 26 July,SOC Surakarta,QG Citilink Indonesia,QG 0763,1C -,,C4,(#)
07:05 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5619,-,,U5,(#)
07:10 26 July,KMG,ID Batik Air,ID 7602,2F -,,14,(#)
07:10 26 July,TKG Bandar Lampung,JT Lion Airlines,JT 0241,1B -,,B2,(#)
07:10 26 July,SRG Semarang,PG Bangkok Airways Public Company Limeted,PG 4323,-,,U8,(#)
07:10 26 July,SRG Semarang,GA Garuda Indonesia,GA 0231,3U -,,U8,(#)
07:10 26 July,SRG Semarang,SV Saudi Arabian Airlines,SV 6149,-,,U8,(#)
07:15 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0201,3U -,,U9,(#)
07:15 26 July,JOG Yogyakarta,PG Bangkok Airways Public Company Limeted,PG 4317,-,,U9,(#)
07:15 26 July,SUB Surabaya,QG Citilink Indonesia,QG 0711,1C -,,C5,(#)
07:20 26 July,YIA,ID Batik Air,ID 6371,2E -,,10,(#)
07:20 26 July,DJB Jambi,JT Lion Airlines,JT 0607,1B -,,B3,(#)
07:25 26 July,SRG Semarang,IN Nam Air,IN 0221,2D -,,1,(#)
07:25 26 July,UPG Makassar,SV Saudi Arabian Airlines,SV 6201,-,,U10,(#)
07:25 26 July,UPG Makassar,JT Lion Airlines,JT 0773,1A -,,A4,(#)
07:25 26 July,BPN Balikpapan,ID Batik Air,ID 6251,2E -,,5,(#)
07:25 26 July,UPG Makassar,PG Bangkok Airways Public Company Limeted,PG 4355,-,,U10,(#)
07:25 26 July,KNO Kualanamu,ID Batik Air,ID 6881,2E -,,8,(#)
07:25 26 July,UPG Makassar,GA Garuda Indonesia,GA 0611,3U -,,U10,(#)
07:25 26 July,BPN Balikpapan,JT Lion Airlines,JT 0763,1A -,,A2,(#)
07:25 26 July,PDG Padang,JT Lion Airlines,JT 0351,1B -,,B4,(#)
07:30 26 July,PNK Pontianak,IN Nam Air,IN 0185,2D -,,5,(#)
07:30 26 July,PGK Pangkal Pinang,IN Nam Air,IN 0065,2D -,,4,(#)
07:35 26 July,BPN Balikpapan,GA Garuda Indonesia,GA 0561,3U -,,U11,(#)
07:35 26 July,SUB Surabaya,ID Batik Air,ID 6597,2E -,,9,(#)
07:40 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0257,3U -,,U12,(#)
07:45 26 July,PKU Pekanbaru,JT Lion Airlines,JT 0393,1B -,,B5,(#)
07:45 26 July,PDG Padang,ID Batik Air,ID 6811,2E -,,10,(#)
07:45 26 July,DOH Doha,QR Qatar Airways,QR 0958,3U -,,U6,(#)
07:45 26 July,KNO Kualanamu,GA Garuda Indonesia,GA 0181,3U -,,U7,(#)
07:45 26 July,UPG Makassar,ID Batik Air,ID 6267,2E -,,8,(#)
07:45 26 July,KNO Kualanamu,SV Saudi Arabian Airlines,SV 6189,-,,U7,(#)
07:50 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0305,3U -,,U8,(#)
07:50 26 July,HGR Hagerstown,QG Citilink Indonesia,QG 0003,2F -,,,(#)
07:50 26 July,TKG Bandar Lampung,SJ Sriwijaya Airlines,SJ 0095,2D -,,1,(#)
07:55 26 July,TRK Tarakan,ID Batik Air,ID 6895,2E -,,4,(#)
08:00 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0011,HG -,,,(#)
08:05 26 July,DPS Bali,GA Garuda Indonesia,GA 0401,3U -,,U9,(#)
08:05 26 July,PKU Pekanbaru,ID Batik Air,ID 7064,2E -,,9,(#)
08:05 26 July,KUL Kuala Lumpur,AK Air Asia Benhard,AK 0380,2F -,,13,(#)
08:05 26 July,DPS Bali,PG Bangkok Airways Public Company Limeted,PG 4311,-,,U9,(#)
08:05 26 July,DPS Bali,WY Oman Airlines,WY 5401,-,,U9,(#)
08:05 26 July,DPS Bali,TK Turkish Airlines,TK 9363,-,,U9,(#)
08:10 26 July,BDJ Banjarmasin,MH Malaysian Airlines,MH 5921,-,,U10,(#)
08:10 26 July,BDJ Banjarmasin,GA Garuda Indonesia,GA 0533,3U -,,U10,(#)
08:15 26 July,MDC Manado,ID Batik Air,ID 6277,2E -,,6,(#)
08:15 26 July,SIN Singapore,GA Garuda Indonesia,GA 0823,3U -,,U1,(#)
08:15 26 July,PKY Palangkaraya,JT Lion Airlines,JT 0671,1A -,,A0,(#)
08:15 26 July,MDC Manado,JT Lion Airlines,JT 0771,1A -,,A5,(#)
08:20 26 July,SRI,ID Batik Air,ID 6671,2E -,,10,(#)
08:25 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0952,3U -,,U2,(#)
08:25 26 July,SIN Singapore,SK SCANDINAVIAN AIRLINES SYSTEM,SK 8027,-,,U2,(#)
08:25 26 July,BPN Balikpapan,JT Lion Airlines,JT 0673,1A -,,A3,(#)
08:25 26 July,DJB Jambi,JT Lion Airlines,JT 0601,1B -,,B2,(#)
08:25 26 July,SIN Singapore,NH All Nippon,NH 6272,-,,U2,(#)
08:25 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5621,-,,U2,(#)
08:25 26 July,PNK Pontianak,JT Lion Airlines,JT 0711,1A -,,A2,(#)
08:25 26 July,SRG Semarang,ID Batik Air,ID 6343,2E -,,8,(#)
08:30 26 July,KUL Kuala Lumpur,FY Firefly Airline,FY 7383,-,,U3,(#)
08:30 26 July,MDC Manado,EY Etihad Airways,EY 8149,-,,U11,(#)
08:30 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0713,3U -,,U3,(#)
08:30 26 July,KUL Kuala Lumpur,QR Qatar Airways,QR 4985,-,,U3,(#)
08:30 26 July,PKY Palangkaraya,JT Lion Airlines,JT 0671,1A -,,A4,(#)
08:30 26 July,KUL Kuala Lumpur,GA Garuda Indonesia,GA 9283,-,,U3,(#)
08:30 26 July,MDC Manado,GA Garuda Indonesia,GA 0607,3U -,,U11,(#)
08:35 26 July,KUL Kuala Lumpur,OD MALINDO AIRLINES,OD 0320,2F -,,14,(#)
08:35 26 July,TJQ Tanjung Pandan,SJ Sriwijaya Airlines,SJ 0051,2D -,,2,(#)
08:35 26 July,SIN Singapore,2Y My indo,2Y 0923,1A -,,,(#)
08:40 26 July,PLM Palembang,ID Batik Air,ID 6873,2E -,,9,(#)
08:40 26 July,TJQ Tanjung Pandan,QG Citilink Indonesia,QG 0977,1C -,,C1,(#)
08:40 26 July,SUB Surabaya,SJ Sriwijaya Airlines,SJ 0259,2D -,,3,(#)
08:40 26 July,PDG Padang,SJ Sriwijaya Airlines,SJ 0023,2D -,,3,(#)
08:45 26 July,JOG Yogyakarta,MH Malaysian Airlines,MH 5905,-,,U12,(#)
08:45 26 July,DPS Bali,JT Lion Airlines,JT 0561,1A -,,A5,(#)
08:45 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0203,3U -,,U12,(#)
08:45 26 July,PKN Pangkalan Bun,IL Trigana Air Service,IL 0709V,1C -,,C2,(#)
08:45 26 July,JOG Yogyakarta,JT Lion Airlines,JT 0565,1A -,,A1,(#)
08:45 26 July,PLW Palu,ID Batik Air,ID 6561,2E -,,10,(#)
08:45 26 July,PKN Pangkalan Bun,IL Trigana Air Service,IL 0709,1C -,,C2,(#)
08:45 26 July,SUB Surabaya,JT Lion Airlines,JT 0571,1A -,,A5,(#)
08:45 26 July,JOG Yogyakarta,PG Bangkok Airways Public Company Limeted,PG 4365,-,,U12,(#)
08:50 26 July,BTH Batam,GA Garuda Indonesia,GA 0151,3U -,,U7,(#)
08:50 26 July,SRG Semarang,PG Bangkok Airways Public Company Limeted,PG 4367,-,,U8,(#)
08:50 26 July,SRG Semarang,MH Malaysian Airlines,MH 5913,-,,U8,(#)
08:50 26 July,SRG Semarang,SV Saudi Arabian Airlines,SV 6151,-,,U8,(#)
08:50 26 July,SRG Semarang,GA Garuda Indonesia,GA 0233,3U -,,U8,(#)
08:55 26 July,SOC Surakarta,GA Garuda Indonesia,GA 0223,3U -,,U9,(#)
08:55 26 July,SUB Surabaya,QZ Air Asia Indonesia,QZ 7689,2E -,,6,(#)
08:55 26 July,PLM Palembang,GA Garuda Indonesia,GA 0105,3U -,,U11,(#)
08:55 26 July,SOC Surakarta,MH Malaysian Airlines,MH 5909,-,,U9,(#)
08:55 26 July,GTO Gorontalo,ID Batik Air,ID 6243,2E -,,8,(#)
08:55 26 July,PLW Palu,GA Garuda Indonesia,GA 0623,3U -,,U10,(#)
08:55 26 July,TKG Bandar Lampung,JT Lion Airlines,JT 0245,1B -,,B1,(#)
08:55 26 July,PLM Palembang,MH Malaysian Airlines,MH 5903,-,,U11,(#)
09:00 26 July,JED Jeddah,SV Saudi Arabian Airlines,SV 0816,3U -,,U3,(#)
09:00 26 July,DPS Bali,QG Citilink Indonesia,QG 0663,1C -,,C3,(#)
09:05 26 July,PNK Pontianak,SJ Sriwijaya Airlines,SJ 0181,2D -,,4,(#)
09:05 26 July,SIN Singapore,TR Scoot Tigerair Pte.Ltd,TR 0274,2F -,,11,(#)
09:10 26 July,SIN Singapore,EK Emirates,EK 7766,-,,12,(#)
09:10 26 July,SIN Singapore,3K Jetstar Airways,3K 0201,2F -,,12,(#)
09:10 26 July,SIN Singapore,QF Qantas Airways,QF 5201,-,,12,(#)
09:15 26 July,DPS Bali,JT Lion Airlines,JT 0035,1B -,,B3,(#)
09:15 26 July,TJQ Tanjung Pandan,ID Batik Air,ID 6827,2E -,,6,(#)
09:15 26 July,PGK Pangkal Pinang,JT Lion Airlines,JT 0217,1B -,,B2,(#)
09:15 26 July,TKG Bandar Lampung,SJ Sriwijaya Airlines,SJ 0089,2D -,,4,(#)
09:15 26 July,SZB Subang,TH Raya Airways,TH 1021,1A -,,,(#)
09:20 26 July,PGK Pangkal Pinang,SJ Sriwijaya Airlines,SJ 0071,2D -,,5,(#)
09:20 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7511,2E -,,7,(#)
09:25 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0307,3U -,,U7,(#)
09:25 26 July,DJB Jambi,GA Garuda Indonesia,GA 0131,3U -,,U12,(#)
09:25 26 July,SUB Surabaya,SV Saudi Arabian Airlines,SV 6145,-,,U7,(#)
09:25 26 July,MKW Manokwari,ID Batik Air,ID 6159,2E -,,9,(#)
09:25 26 July,TAS,HY UZBEKISTAN AIRWAYS,HY 0553,3U -,,U5,(#)
09:25 26 July,SIN Singapore,8K K-Mile Air Cargo,8K 0804,1A -,,,(#)
09:25 26 July,SUB Surabaya,MH Malaysian Airlines,MH 5917,-,,U7,(#)
09:25 26 July,SIN Singapore,8F Cardig Air,8F 0804,-,,,(#)
09:30 26 July,JED Jeddah,GA Garuda Indonesia,GA 0981,3U -,,U6,(#)
09:35 26 July,TJQ Tanjung Pandan,GA Garuda Indonesia,GA 0283,3U -,,U9,(#)
09:35 26 July,TKG Bandar Lampung,GA Garuda Indonesia,GA 0083,3U -,,U8,(#)
09:40 26 July,PNK Pontianak,JT Lion Airlines,JT 0877,1A -,,A2,(#)
09:40 26 July,JED Jeddah,GA Garuda Indonesia,GA 7361I,2D -,,1,(#)
09:45 26 July,SUB Surabaya,ID Batik Air,ID 6391,2E -,,10,(#)
09:45 26 July,UPG Makassar,JT Lion Airlines,JT 0891,1A -,,A3,(#)
09:45 26 July,PNK Pontianak,IN Nam Air,IN 0181,2D -,,2,(#)
09:45 26 July,TTE Ternate,GA Garuda Indonesia,GA 0649,3U -,,U10,(#)
09:45 26 July,PDG Padang,JT Lion Airlines,JT 0253,1B -,,B1,(#)
09:50 26 July,SRG Semarang,SJ Sriwijaya Airlines,SJ 0225,2D -,,3,(#)
09:55 26 July,BTJ Aceh,GA Garuda Indonesia,GA 0143,3U -,,U11,(#)
09:55 26 July,SMQ Sampit,IN Nam Air,IN 0173,2D -,,4,(#)
09:55 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0449,3U -,,U12,(#)
09:55 26 July,KNO Kualanamu,JT Lion Airlines,JT 0397,1B -,,B4,(#)
09:55 26 July,MDC Manado,QG Citilink Indonesia,QG 0301,1C -,,C4,(#)
09:55 26 July,BDJ Banjarmasin,JT Lion Airlines,JT 0323,1A -,,A4,(#)
10:00 26 July,PKY Palangkaraya,GA Garuda Indonesia,GA 0551,3U -,,U7,(#)
10:00 26 July,AMQ Ambon,ID Batik Air,ID 6171,2E -,,9,(#)
10:00 26 July,SOQ Sorong,ID Batik Air,ID 7780,2E -,,8,(#)
10:00 26 July,SUB Surabaya,QZ Air Asia Indonesia,QZ 0695,2E -,,11,(#)
10:05 26 July,MDC Manado,ID Batik Air,ID 6271,2E -,,10,(#)
10:05 26 July,KOE Kupang,ID Batik Air,ID 6541,2E -,,9,(#)
10:05 26 July,BDJ Banjarmasin,GA Garuda Indonesia,GA 0535,3U -,,U8,(#)
10:05 26 July,BDJ Banjarmasin,MH Malaysian Airlines,MH 5923,-,,U8,(#)
10:05 26 July,PKU Pekanbaru,ID Batik Air,ID 6851,2E -,,8,(#)
10:10 26 July,BKS Bengkulu,GA Garuda Indonesia,GA 0297,3U -,,U10,(#)
10:10 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5624,-,,U1,(#)
10:10 26 July,SOQ Sorong,GA Garuda Indonesia,GA 0683,3U -,,U11,(#)
10:10 26 July,UPG Makassar,ID Batik Air,ID 6293,2E -,,10,(#)
10:10 26 July,KDI Kendari,GA Garuda Indonesia,GA 0697,3U -,,U9,(#)
10:10 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0956,3U -,,U1,(#)
10:10 26 July,DPS Bali,GA Garuda Indonesia,GA 0341,1A -,,,(#)
10:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0002,HG -,,,(#)
10:15 26 July,SGN Ho Chi Minh City,FX Federal Express,FX 5194,1A -,,,(#)
10:15 26 July,KUL Kuala Lumpur,QR Qatar Airways,QR 4983,-,,U2,(#)
10:15 26 July,SUB Surabaya,VN Vietnam Airlines,VN 3957,-,,U12,(#)
10:15 26 July,KUL Kuala Lumpur,WY Oman Airlines,WY 5711,-,,U2,(#)
10:15 26 July,KUL Kuala Lumpur,GA Garuda Indonesia,GA 9281,-,,U2,(#)
10:15 26 July,BTH Batam,JT Lion Airlines,JT 0373,1B -,,B2,(#)
10:15 26 July,SUB Surabaya,CI China Airlines,CI 9775,-,,U12,(#)
10:15 26 July,PNK Pontianak,JT Lion Airlines,JT 0719,1A -,,A4,(#)
10:15 26 July,SUB Surabaya,PG Bangkok Airways Public Company Limeted,PG 4351,-,,U12,(#)
10:15 26 July,MED Madinah,SV Saudi Arabian Airlines,SV 4311I,2D -,,1,(#)
10:15 26 July,UPG Makassar,JT Lion Airlines,JT 0871,1A -,,A5,(#)
10:15 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0711,3U -,,U2,(#)
10:15 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0309,3U -,,U12,(#)
10:20 26 July,MLG Malang,SJ Sriwijaya Airlines,SJ 0251,2D -,,1,(#)
10:20 26 July,BTH Batam,QG Citilink Indonesia,QG 0941,1C -,,C5,(#)
10:20 26 July,DPS Bali,ID Batik Air,ID 6501,2E -,,13,(#)
10:20 26 July,BPN Balikpapan,SJ Sriwijaya Airlines,SJ 0159,2D -,,1,(#)
10:25 26 July,KUL Kuala Lumpur,AK Air Asia Benhard,AK 0388,2F -,,13,(#)
10:25 26 July,SIN Singapore,JT Lion Airlines,JT 0153,2F -,,14,(#)
10:25 26 July,SRG Semarang,QG Citilink Indonesia,QG 0791,1C -,,C3,(#)
10:30 26 July,DPS Bali,VN Vietnam Airlines,VN 3955,-,,U8,(#)
10:30 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 0933X,2E -,,6,(#)
10:30 26 July,DPS Bali,TK Turkish Airlines,TK 9365,-,,U8,(#)
10:30 26 July,TNJ Tanjung Pinang,SJ Sriwijaya Airlines,SJ 0039,2D -,,2,(#)
10:30 26 July,MKQ Marauke,GA Garuda Indonesia,GA 0657,3U -,,U7,(#)
10:30 26 July,SUB Surabaya,JT Lion Airlines,JT 0573,1A -,,A1,(#)
10:30 26 July,PEN Penang,PV Private,PV 0001,1A -,,,(#)
