Waktu,Asal,Maskapai,Penerbangan,Terminal_Pintu,Keterangan,Bagasi,Radar_Penerbangan
14:55 26 July,DMK Bangkok Don Mueang,QZ Air Asia Indonesia,QZ 0251,2F -,,14,(#)
14:55 26 July,PDG Padang,JT Lion Airlines,JT 0359,1B -,,B4,(#)
14:55 26 July,AUH Abu Dhabi,GA Garuda Indonesia,GA 9926,-,,U6,(#)
14:55 26 July,AUH Abu Dhabi,EY Etihad Airways,EY 0474,3U -,,U6,(#)
14:55 26 July,AUH Abu Dhabi,AZ Alitalia,AZ 5768,-,,U6,(#)
14:55 26 July,SIN Singapore,9W Jet Airways india,9W 4102,-,,U2,(#)
14:55 26 July,SIN Singapore,GA Garuda Indonesia,GA 0831,3U -,,U2,(#)
14:55 26 July,SIN Singapore,8M Myanmar Airways,8M 4831,-,,U2,(#)
15:00 26 July,SRG Semarang,PG Bangkok Airways Public Company Limeted,PG 4327,-,,U10,(#)
15:00 26 July,SRG Semarang,GA Garuda Indonesia,GA 0239,3U -,,U2,(#)
15:00 26 July,SMQ Sampit,IN Nam Air,IN 0171,2D -,,1,(#)
15:00 26 July,SOC Surakarta,QG Citilink Indonesia,QG 0761,1C -,,C3,(#)
15:00 26 July,SRG Semarang,GA Garuda Indonesia,GA 0239V,3U -,,U10,(#)
15:00 26 July,PKU Pekanbaru,QG Citilink Indonesia,QG 0937,1C -,,C4,(#)
15:05 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0721,3U -,,U3,(#)
15:05 26 July,KUL Kuala Lumpur,QR Qatar Airways,QR 5000,-,,U3,(#)
15:05 26 July,SUB Surabaya,EY Etihad Airways,EY 8184,-,,U11,(#)
15:05 26 July,KUL Kuala Lumpur,GA Garuda Indonesia,GA 9271,-,,U3,(#)
15:05 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0317,3U -,,U11,(#)
15:05 26 July,KUL Kuala Lumpur,FY Firefly Airline,FY 7387,-,,U3,(#)
15:10 26 July,SUB Surabaya,SJ Sriwijaya Airlines,SJ 0269,2D -,,1,(#)
15:10 26 July,BPN Balikpapan,SJ Sriwijaya Airlines,SJ 0161,2D -,,5,(#)
15:15 26 July,PEK Peking,GA Garuda Indonesia,GA 0891,3U -,,U4,(#)
15:20 26 July,SRI,ID Batik Air,ID 6257,2E -,,9,(#)
15:20 26 July,KNO Kualanamu,JT Lion Airlines,JT 0201,1B -,,B2,(#)
15:20 26 July,TKG Bandar Lampung,GA Garuda Indonesia,GA 0075,3U -,,U12,(#)
15:20 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 0937X,2E -,,6,(#)
15:20 26 July,TKG Bandar Lampung,MH Malaysian Airlines,MH 5899,-,,U12,(#)
15:20 26 July,JOG Yogyakarta,ID Batik Air,ID 6373,2E -,,6,(#)
15:20 26 July,DOH Doha,QR Qatar Airways,QR 0956,3U -,,U5,(#)
15:25 26 July,UPG Makassar,QG Citilink Indonesia,QG 0251,1C -,,C5,(#)
15:25 26 July,RTB,WY Oman Airlines,WY 0850R,3U -,,,(#)
15:30 26 July,PKU Pekanbaru,JT Lion Airlines,JT 0291,1B -,,B3,(#)
15:30 26 July,SUB Surabaya,JT Lion Airlines,JT 0577,1A -,,A5,(#)
15:30 26 July,UPG Makassar,JT Lion Airlines,JT 0797,1A -,,A1,(#)
15:30 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0209,3U -,,U7,(#)
15:35 26 July,DJB Jambi,JT Lion Airlines,JT 0603,1B -,,B1,(#)
15:35 26 July,BKS Bengkulu,QG Citilink Indonesia,QG 0991,1C -,,C1,(#)
15:35 26 July,DJJ Jayapura,GA Garuda Indonesia,GA 0653,3U -,,U8,(#)
15:35 26 July,KUL Kuala Lumpur,QZ Air Asia Indonesia,QZ 0201,2F -,,13,(#)
15:35 26 July,DJJ Jayapura,EY Etihad Airways,EY 7109,-,,U8,(#)
15:40 26 July,AAP,GA Garuda Indonesia,GA 0583,3U -,,U9,(#)
15:40 26 July,PLM Palembang,QG Citilink Indonesia,QG 0885,1C -,,C2,(#)
15:40 26 July,DXB Dubai,FZ Flydubai,FZ 6356,3U -,,U4,(#)
15:40 26 July,DXB Dubai,EK Emirates,EK 0356,3U -,,U4,(#)
15:40 26 July,SIN Singapore,JT Lion Airlines,JT 0155,2F -,,12,(#)
15:45 26 July,SYD Sydney,GA Garuda Indonesia,GA 0713,3U -,,U2,(#)
15:45 26 July,SYD Sydney,8M Myanmar Airways,8M 4713,-,,U2,(#)
15:45 26 July,ICN Seoul,GA Garuda Indonesia,GA 0879,3U -,,U1,(#)
15:45 26 July,SYD Sydney,KL KLM Royal Deutch Airlines,KL 4049,-,,U2,(#)
15:45 26 July,PVG Shanghai,GA Garuda Indonesia,GA 0895,3U -,,7,(#)
15:45 26 July,SYD Sydney,EY Etihad Airways,EY 8160,-,,U2,(#)
15:45 26 July,ICN Seoul,KE Korean Airlines,KE 5627,-,,U1,(#)
15:50 26 July,SIN Singapore,TR Scoot Tigerair Pte.Ltd,TR 0270,2F -,,11,(#)
15:50 26 July,LOP Praya,NH All Nippon,NH 5512,-,,U11,(#)
15:50 26 July,GNS Gunung Sitoli,GA Garuda Indonesia,GA 0261,3U -,,U10,(#)
15:50 26 July,LOP Praya,GA Garuda Indonesia,GA 0433,3U -,,U11,(#)
15:50 26 July,BTH Batam,SJ Sriwijaya Airlines,SJ 0033,2D -,,2,(#)
15:55 26 July,HND Tokyo Haneda,NH All Nippon,NH 0855,3U -,,U3,(#)
15:55 26 July,BDJ Banjarmasin,GA Garuda Indonesia,GA 0537,3U -,,U6,(#)
15:55 26 July,HND Tokyo Haneda,GA Garuda Indonesia,GA 9353,-,,U3,(#)
15:55 26 July,SRG Semarang,ID Batik Air,ID 6355,2E -,,10,(#)
15:55 26 July,PDG Padang,EY Etihad Airways,EY 8174,-,,U12,(#)
15:55 26 July,BTH Batam,QG Citilink Indonesia,QG 0943,1C -,,C4,(#)
15:55 26 July,BDJ Banjarmasin,GA Garuda Indonesia,GA 0537V,3U -,,U7,(#)
15:55 26 July,PDG Padang,GA Garuda Indonesia,GA 0165,3U -,,U12,(#)
15:55 26 July,BPN Balikpapan,QG Citilink Indonesia,QG 0425,1C -,,C3,(#)
16:00 26 July,DPS Bali,JT Lion Airlines,JT 0023,1B -,,B2,(#)
16:00 26 July,UPG Makassar,SJ Sriwijaya Airlines,SJ 0593,2D -,,1,(#)
16:00 26 July,PKY Palangkaraya,JT Lion Airlines,JT 0867,1A -,,A2,(#)
16:00 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0960,3U -,,U2,(#)
16:00 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5628,3U -,,U2,(#)
16:05 26 July,SUB Surabaya,JT Lion Airlines,JT 0749,1A -,,A3,(#)
16:10 26 July,BKS Bengkulu,JT Lion Airlines,JT 0635,1B -,,B3,(#)
16:10 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7531,2E -,,7,(#)
16:10 26 July,PDG Padang,JT Lion Airlines,JT 0251,1B -,,B4,(#)
16:10 26 July,SMQ Sampit,IN Nam Air,IN 0171,2D -,,3,(#)
16:10 26 July,JOG Yogyakarta,QG Citilink Indonesia,QG 0775,1C -,,C5,(#)
16:15 26 July,MED Madinah,SV Saudi Arabian Airlines,SV 4317I,2D -,,,(#)
16:15 26 July,KNO Kualanamu,ID Batik Air,ID 6889,2E -,,8,(#)
16:15 26 July,MED Madinah,SV Saudi Arabian Airlines,SV 4419I,2D -,,,(#)
16:15 26 July,SIN Singapore,GA Garuda Indonesia,GA 0833,3U -,,U5,(#)
16:15 26 July,SIN Singapore,8M Myanmar Airways,8M 4833,-,,U5,(#)
16:20 26 July,PEN Penang,QG Citilink Indonesia,QG 0511,2F -,,14,(#)
16:20 26 July,KNO Kualanamu,JT Lion Airlines,JT 0387,1B -,,B5,(#)
16:20 26 July,DJJ Jayapura,GA Garuda Indonesia,GA 0659,3U -,,U8,(#)
16:25 26 July,JOG Yogyakarta,JL Japan Airlines,JL 6914,-,,U9,(#)
16:25 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0211,3U -,,U9,(#)
16:25 26 July,JOG Yogyakarta,KL KLM Royal Deutch Airlines,KL 4037,-,,U9,(#)
16:30 26 July,KNO Kualanamu,GA Garuda Indonesia,GA 0189,3U -,,U10,(#)
16:30 26 July,PNK Pontianak,JT Lion Airlines,JT 0685,1A -,,A1,(#)
16:35 26 July,TKG Bandar Lampung,JT Lion Airlines,JT 0249,1B -,,B1,(#)
16:35 26 July,PLM Palembang,GA Garuda Indonesia,GA 0113,3U -,,U11,(#)
16:35 26 July,MLG Malang,SJ Sriwijaya Airlines,SJ 0249,2D -,,4,(#)
16:40 26 July,KUL Kuala Lumpur,JT Lion Airlines,JT 0281,2F -,,13,(#)
16:40 26 July,DPS Bali,KL KLM Royal Deutch Airlines,KL 4055,-,,U12,(#)
16:40 26 July,DPS Bali,TK Turkish Airlines,TK 9371,-,,U12,(#)
16:40 26 July,DPS Bali,GA Garuda Indonesia,GA 0411,3U -,,U12,(#)
16:40 26 July,SRG Semarang,GA Garuda Indonesia,GA 0241,3U -,,U7,(#)
16:45 26 July,PNK Pontianak,GA Garuda Indonesia,GA 0507,3U -,,U8,(#)
16:45 26 July,LOP Praya,JT Lion Airlines,JT 0647,1A -,,A4,(#)
16:45 26 July,TIM Tembagapura,FS Airfast Indonesia,FS 0233,1C -,,C1,(#)
16:50 26 July,DJB Jambi,SJ Sriwijaya Airlines,SJ 0061V,2D -,,5,(#)
16:50 26 July,TKG Bandar Lampung,JT Lion Airlines,JT 0249,1B -,,B1,(#)
16:50 26 July,NRT Tokyo,JL Japan Airlines,JL 0725,3U -,,U6,(#)
16:50 26 July,NRT Tokyo,HA HAWAIIAN AIRLINES,HA 5376,3U -,,U6,(#)
16:50 26 July,NRT Tokyo,GA Garuda Indonesia,GA 9153,3U -,,U6,(#)
16:50 26 July,DJB Jambi,SJ Sriwijaya Airlines,SJ 0061,2D -,,1,(#)
16:50 26 July,LBJ,GA Garuda Indonesia,GA 0453,3U -,,U9,(#)
16:50 26 July,PKN Pangkalan Bun,IN Nam Air,IN 0191,2D -,,2,(#)
17:00 26 July,DPS Bali,QG Citilink Indonesia,QG 0681,1C -,,C2,(#)
17:00 26 July,KUL Kuala Lumpur,QG Citilink Indonesia,QG 0529,2F -,,12,(#)
17:00 26 July,DPS Bali,ID Batik Air,ID 6505,2E -,,9,(#)
17:05 26 July,AMQ Ambon,KL KLM Royal Deutch Airlines,KL 4027,-,,U10,(#)
17:05 26 July,DTB Silangit,SJ Sriwijaya Airlines,SJ 0891,2D -,,1,(#)
17:05 26 July,AMQ Ambon,GA Garuda Indonesia,GA 0647,3U -,,U10,(#)
17:10 26 July,PLM Palembang,SJ Sriwijaya Airlines,SJ 0085,2D -,,2,(#)
17:10 26 July,KOE Kupang,TK Turkish Airlines,TK 9361,-,,U11,(#)
17:10 26 July,PLM Palembang,JT Lion Airlines,JT 0347,1B -,,B2,(#)
17:10 26 July,PKN Pangkalan Bun,IN Nam Air,IN 0191,2D -,,3,(#)
17:10 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5584,-,,U1,(#)
17:10 26 July,MDC Manado,ID Batik Air,ID 6273,2E -,,9,(#)
17:10 26 July,LBJ,ID Batik Air,ID 6523,2E -,,8,(#)
17:10 26 July,DPS Bali,ID Batik Air,ID 6060,2E -,,10,(#)
17:10 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0962,3U -,,U1,(#)
17:10 26 July,KOE Kupang,GA Garuda Indonesia,GA 0439,3U -,,U11,(#)
17:20 26 July,UPG Makassar,JT Lion Airlines,JT 0779,1A -,,A5,(#)
17:20 26 July,SIN Singapore,QF Qantas Airways,QF 5207,2F -,,13,(#)
17:20 26 July,SIN Singapore,ID Batik Air,ID 7156,2F -,,11,(#)
17:20 26 July,UPG Makassar,ID Batik Air,ID 6285,2E -,,10,(#)
17:20 26 July,SIN Singapore,3K Jetstar Airways,3K 0207,2F -,,13,(#)
17:25 26 July,SUB Surabaya,JL Japan Airlines,JL 6912,-,,U7,(#)
17:25 26 July,SUB Surabaya,NH All Nippon,NH 5542,-,,U7,(#)
17:25 26 July,AMS Amsterdam,GA Garuda Indonesia,GA 9089,-,,U2,(#)
17:25 26 July,AMS Amsterdam,AF Air France,AF 8399,-,,U2,(#)
17:25 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0321,3U -,,U7,(#)
17:25 26 July,AMS Amsterdam,KL KLM Royal Deutch Airlines,KL 0809,3U -,,U2,(#)
17:25 26 July,AMS Amsterdam,DL DELTA AIRLINES,DL 8210,-,,U2,(#)
17:25 26 July,GTO Gorontalo,GA Garuda Indonesia,GA 0643,3U -,,U12,(#)
17:30 26 July,PNK Pontianak,JT Lion Airlines,JT 0715,1A -,,A1,(#)
17:30 26 July,HND Tokyo Haneda,GA Garuda Indonesia,GA 0875,3U -,,U3,(#)
17:30 26 July,BTH Batam,JT Lion Airlines,JT 0379,1B -,,B3,(#)
17:30 26 July,SOC Surakarta,GA Garuda Indonesia,GA 0221,3U -,,U9,(#)
17:30 26 July,HND Tokyo Haneda,JL Japan Airlines,JL 5011,-,,U3,(#)
17:30 26 July,TJQ Tanjung Pandan,GA Garuda Indonesia,GA 0285,3U -,,U8,(#)
17:30 26 July,PDG Padang,JT Lion Airlines,JT 0355,1B -,,B4,(#)
17:30 26 July,BTH Batam,JT Lion Airlines,JT 0379,1B -,,B3,(#)
17:35 26 July,KUL Kuala Lumpur,FY Firefly Airline,FY 7389,-,,U4,(#)
17:35 26 July,SRI,QG Citilink Indonesia,QG 0423,1C -,,C4,(#)
17:35 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0723,3U -,,U4,(#)
17:35 26 July,KUL Kuala Lumpur,QR Qatar Airways,QR 5002,-,,U4,(#)
17:35 26 July,KUL Kuala Lumpur,GA Garuda Indonesia,GA 9273,-,,U4,(#)
17:40 26 July,PKU Pekanbaru,ID Batik Air,ID 6857,2E -,,8,(#)
17:40 26 July,MDC Manado,JT Lion Airlines,JT 0743,1A -,,A2,(#)
17:40 26 July,JOG Yogyakarta,NH All Nippon,NH 5504,-,,U10,(#)
17:40 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0213,3U -,,U10,(#)
17:40 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7527,2E -,,6,(#)
17:45 26 July,MEL Melbourne,GA Garuda Indonesia,GA 0717,3U -,,U6,(#)
17:45 26 July,BKK Bangkok,GA Garuda Indonesia,GA 0867,3U -,,U5,(#)
17:45 26 July,MEL Melbourne,KL KLM Royal Deutch Airlines,KL 4051,-,,U6,(#)
17:45 26 July,JOG Yogyakarta,QZ Air Asia Indonesia,QZ 7551,2E -,,7,(#)
17:50 26 July,BPN Balikpapan,ID Batik Air,ID 6259,2E -,,12,(#)
17:50 26 July,DPS Bali,QG Citilink Indonesia,QG 0683,1C -,,C5,(#)
17:55 26 July,SRI,ID Batik Air,ID 6673,2E -,,9,(#)
17:55 26 July,BDJ Banjarmasin,JT Lion Airlines,JT 0525,1A -,,A2,(#)
17:55 26 July,BKK Bangkok,TG Thai International Airways,TG 0435,3U -,,U1,(#)
18:00 26 July,JED Jeddah,SV Saudi Arabian Airlines,SV 0818,3U -,,U3,(#)
18:00 26 July,TKG Bandar Lampung,GA Garuda Indonesia,GA 0077,3U -,,U11,(#)
18:00 26 July,TKG Bandar Lampung,SJ Sriwijaya Airlines,SJ 0069,2D -,,4,(#)
18:00 26 July,IST Istanbul,TK Turkish Airlines,TK 0056,3U -,,U4,(#)
18:00 26 July,IST Istanbul,GA Garuda Indonesia,GA 9095,-,,U4,(#)
18:05 26 July,SIN Singapore,JT Lion Airlines,JT 0157,2D -,,4,(#)
18:05 26 July,SIN Singapore,OZ Asiana Airlines,OZ 6796,3U -,,U6,(#)
18:05 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5360,3U -,,U6,(#)
18:05 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0964,3U -,,U6,(#)
18:10 26 July,DPS Bali,JT Lion Airlines,JT 0015,1B -,,B5,(#)
18:15 26 July,TIM Tembagapura,FS Airfast Indonesia,FS 0230,1C -,,C1,(#)
18:15 26 July,MED Madinah,SV Saudi Arabian Airlines,SV 4511I,2D -,,,(#)
18:15 26 July,PLM Palembang,SJ Sriwijaya Airlines,SJ 0283,2D -,,5,(#)
18:20 26 July,SRG Semarang,JT Lion Airlines,JT 0503,1A -,,A3,(#)
18:20 26 July,SUB Surabaya,JT Lion Airlines,JT 0693,1A -,,A4,(#)
18:20 26 July,DPS Bali,UX air europa,UX 3276,-,,U10,(#)
18:20 26 July,PLM Palembang,GA Garuda Indonesia,GA 0115,3U -,,U12,(#)
18:20 26 July,DPS Bali,GA Garuda Indonesia,GA 0419,3U -,,U10,(#)
18:20 26 July,SUB Surabaya,JT Lion Airlines,JT 0599,1A -,,A4,(#)
18:25 26 July,PKU Pekanbaru,GA Garuda Indonesia,GA 0179,3U -,,U8,(#)
18:25 26 July,MRB Muara Bungo,IN Nam Air,IN 0091,2D -,,1,(#)
18:25 26 July,PGK Pangkal Pinang,SJ Sriwijaya Airlines,SJ 0077,2D -,,1,(#)
18:30 26 July,KNO Kualanamu,JT Lion Airlines,JT 0383,1B -,,B3,(#)
18:30 26 July,TKG Bandar Lampung,JT Lion Airlines,JT 0123,1B -,,B2,(#)
18:30 26 July,KOE Kupang,GA Garuda Indonesia,GA 0457,3U -,,U10,(#)
18:30 26 July,KNO Kualanamu,GA Garuda Indonesia,GA 0121,3U -,,U9,(#)
18:30 26 July,TTE Ternate,ID Batik Air,ID 6141,2E -,,10,(#)
18:30 26 July,TJQ Tanjung Pandan,SJ Sriwijaya Airlines,SJ 0053,2D -,,2,(#)
18:30 26 July,BTH Batam,GA Garuda Indonesia,GA 0157,3U -,,U11,(#)
18:35 26 July,SIN Singapore,GA Garuda Indonesia,GA 0835,3U -,,U2,(#)
18:35 26 July,TTE Ternate,GA Garuda Indonesia,GA 0601,3U -,,U12,(#)
18:35 26 July,PDG Padang,GA Garuda Indonesia,GA 0167,3U -,,U8,(#)
18:35 26 July,TTE Ternate,NH All Nippon,NH 5516,-,,U12,(#)
18:35 26 July,SUB Surabaya,GA Garuda Indonesia,GA 3034X,3U -,,U9,(#)
18:35 26 July,TTE Ternate,EY Etihad Airways,EY 7131,-,,U12,(#)
18:35 26 July,BTJ Aceh,GA Garuda Indonesia,GA 0147,3U -,,U7,(#)
18:40 26 July,SYD Sydney,QF Qantas Airways,QF 0041,3U -,,U1,(#)
18:40 26 July,TIM Tembagapura,GA Garuda Indonesia,GA 0655,3U -,,U10,(#)
18:45 26 July,TJQ Tanjung Pandan,IN Nam Air,IN 0057,2D -,,2,(#)
18:45 26 July,KOE Kupang,ID Batik Air,ID 6549,1C -,,C2,(#)
18:45 26 July,DPS Bali,SJ Sriwijaya Airlines,SJ 0273,2D -,,3,(#)
18:50 26 July,DPS Bali,ID Batik Air,ID 6513,2E -,,6,(#)
18:50 26 July,PEN Penang,QZ Air Asia Indonesia,QZ 0227,2F -,,13,(#)
18:50 26 July,PNK Pontianak,JT Lion Airlines,JT 0725,1A -,,A2,(#)
18:55 26 July,SOC Surakarta,JT Lion Airlines,JT 0539,1A -,,A5,(#)
18:55 26 July,PDG Padang,SJ Sriwijaya Airlines,SJ 0021,2D -,,4,(#)
18:55 26 July,SRG Semarang,GA Garuda Indonesia,GA 0245,3U -,,8,(#)
18:55 26 July,SRG Semarang,NH All Nippon,NH 5506,-,,8,(#)
19:00 26 July,SUB Surabaya,QG Citilink Indonesia,QG 0719,1C -,,C1,(#)
19:00 26 July,LUW Luwuk,ID Batik Air,ID 6291,2E -,,8,(#)
19:00 26 July,DJB Jambi,GA Garuda Indonesia,GA 0135,3U -,,U11,(#)
19:00 26 July,DMK Bangkok Don Mueang,SL THAI LION AIR,SL 0114,2F -,,,(#)
19:00 26 July,PNH Phnom Penh,QG Citilink Indonesia,QG 0513,2F -,,12,(#)
19:00 26 July,KUL Kuala Lumpur,QZ Air Asia Indonesia,QZ 0209,2F -,,11,(#)
19:05 26 July,SUB Surabaya,QZ Air Asia Indonesia,QZ 0947X,2E -,,6,(#)
19:05 26 July,KUL Kuala Lumpur,UL Sri Lankan Airlines,UL 2725,-,,U1,(#)
19:05 26 July,KUL Kuala Lumpur,GA Garuda Indonesia,GA 9275,-,,U1,(#)
19:05 26 July,KUL Kuala Lumpur,FY Firefly Airline,FY 7391,-,,U1,(#)
19:05 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0725,3U -,,U1,(#)
19:10 26 July,SRG Semarang,QG Citilink Indonesia,QG 0799,1C -,,C3,(#)
19:10 26 July,DPS Bali,ID Batik Air,ID 6517,2E -,,9,(#)
19:10 26 July,PKY Palangkaraya,GA Garuda Indonesia,GA 0553,3U -,,U12,(#)
19:10 26 July,UPG Makassar,JT Lion Airlines,JT 0777,1A -,,A1,(#)
19:10 26 July,JOG Yogyakarta,ID Batik Air,ID 6375,2E -,,10,(#)
